AreaName,WVitemID,TextTypeID,TextType,SortOrder,Text
Krydstogter i Middelhavet,138096,13,Text part,10,"Rejseruterne i Middelhavet varierer afhængigt af skib og rejselængde, og du har adskillige krydstogter at vælge imellem. I vores bekvemme krydstogtspakker indgår foruden selve krydstogtet både fly og hotelovernatning i afrejsebyen før krydstogtet. Du kan sejle med Royal Caribbean Internationals store og familievenlige skibe eller nyde god mad og lækkert design på Celebrity Cruises mellemstore skibe. Vil du opleve en helt særlig middelhavsatmosfære, bør du vælge Costa Cruises, som sejler under italiensk flag og tilbyder udsøgt mad, flot design og ""la dolce vita"", når det er bedst. Uanset hvad du vælger, vil udbuddet ombord være stort og oplevelserne i land mange.<br><br>Tager du på krydstogt med Royal Caribbean International eller Celebrity Cruises indgår drikkepenge i prisen (ca. 12 USD pr. dag). På krydstogter med Costa Cruises tilkommer obligatoriske drikkepenge på ca. 9 EUR pr. voksen og ca. 4,50 EUR pr. barn og dag, som betales ombord."
La Gomera,108085,16,Area description,0,"La Gomera er Kanarieøernes næstmindste ø og er så uopdaget, at det er svært at forestille sig, at det er ""bare"" er en af De Kanariske Øer. Her rejser man ikke til for kun at ligge på stranden, men snarere for at få naturoplevelser, for at vandre og måske for at spille golf. Klimaet er behageligt hele året rundt. Du kommer til La Gomera med færge fra Los Cristianos på Tenerife. Bådturen tager ca. 45 minutter."
La Gomera,108085,16,Area description,10,Et besøg på Tenerifes naboø La Gomera er lig med natur en masse - både på og udenfor golfbanen. Med Spies bor du på La Gomeras bedste hotel - med god golf lige rundt om hjørnet!
Lesbos,108090,16,Area description,0,På grønne Lesbos oplever du det ægte Grækenland med både fine strande og græsk hverdagsliv.
Lesbos,108090,13,Text part,10,"Naturen på Lesbos er præget af grønne skove, sølvgrå olivenplantager og brede blågrønne bugter, som skærer sig ind i landskabet. Alligevel har relativt få feriegæster opdaget denne græske perle. Det betyder, at priserne stadig er favorable og trængslen i feriebyerne til at overse. Lesbos passer perfekt til dig, som vil have en afslappende ferie med masser af sol, skønne strande og et ægte græsk hverdagsliv.<br><br>Når du rejser med Spies, kan du vælge mellem mange gode hoteller og seks dejlige rejsemål: Petra med sin særprægede kirke og fine strand, Molivos med sin farverige græske stemning, Anaxos med masser af hyggelige tavernaer og øens måske bedste strand, Eftalou med varme kilder og maleriske badebugter, Skala Kallonis for hele familien og Plomari med det hyggelige havnemiljø og Grækenlands bedste ouzo."
Lissabon-området,108092,16,Area description,0,"Lissabon er utvivlsomt en af Europas mest charmerende hovedstæder. Byen byder på både seværdigheder og gode shoppingmuligheder samt restauranter, der stadig har et relativt lavt prisniveau i forhold til mange andre storbyer. Når du rejser med Spies til Lissabon-området, kan du også vælge ferierejsemålene Estoril og Cascais."
Lissabon-området,108092,16,Area description,10,"Førsteklasses golf ved en af Europas mest charmerende hovedstæder - Lissabon og omegn er et rigtig godt valg for den golfinteresserede. Når du rejser med Spies, kan du vælge imellem adskillige gode baner. Derudover har vi flere udmærkede hoteller, hvoraf mange ligger lige ved golfbanen. I Estoril/Cascais tilbyder vi også golfpakker til rimelige priser."
Madeira,108095,16,Area description,0,"Madeira er en moderne klassiker med vidunderlig natur, hoteller for enhver smag, gode shoppingmuligheder og mange oplevelser, hvad enten du vil have en festlig aften på kasino eller en dejlig dag langs levadaerne. Vil du se det hele? Så lej en bil gennem Spies. Nu kan du også rejse med rutefly til <a href=""{res:6804}"">Funchal</a>, og du bestemmer derfor selv både afrejsedag og rejselængde."
Madeira,108095,13,Text part,10,"Langt de fleste har et billede af Madeira som øen med mageløse udsigter, bratte klippeskråninger, frodig natur, rislende levadaer og en charmerende hovedstad. Sådan er det stadig på Madeira, men det er også værd at nævne de trendy restauranter, vores Prime Select-hoteller for voksne, som rejser uden børn, og spændende aktiviteter som canyoning, ridning på naturstier eller shopping i Funchals små specialbutikker."
Madeira,108095,13,Text part,20,"<b>Det nye Funchal</b><br>Madeiras betagende hovedstad ligger ved foden af bjergene med udsigt over havet. Her i den gamle bydel, som er blevet renoveret efter alle kunstens regler, præges stemningen af hyggelige barer og restauranter, shopping og folkeliv, pulserende dage og stemningsfulde aftener. Hos Spies har du over 20 hoteller at vælge imellem."
Madeira,108095,16,Area description,30,"Madeira byder på to golfbaner i en fantastisk natur med storslåede udsigter. Banerne passer til alle typer af spillere, men de er kuperede, så det kræver en god kondition. Med Spies bor du i den charmerende hovedstad Funchal, hvor du er tæt på folkeliv, shopping, restauranter, barer og et hyggeligt aften- og natteliv."
Makarska Riviera,186729,16,Area description,0,"Makarska Riviera er en af verdens smukkeste kyststrækninger. Spies tilbyder seks forskellige rejsemål: <a href=""{res:81571}"">Baska Voda</a>, <a href=""{res:81647}"">Brela</a>, <a href=""{res:81703}"">Makarska</a>, <a href=""{res:81713}"">Podgora</a>, <a href=""{res:81714}"">Tucepi</a> og <a href=""{res:96139}"">Gradac</a>. Især strækningen langs Brela og Baska Voda anses for at være en af verdens bedste badekyster med små fine strande og krystalklart vand. Måske er det derfor, at både hotellerne og rejsemålene får så høje vurderinger af vores gæster. Rejserne hertil bliver hurtigt udsolgt, så vil du tilbringe ferien på Makarska Riviera, gælder det om at være tidligt ude."
Mallorca,108099,16,Area description,0,"Når du rejser til Mallorca med Spies, kan du vælge mellem en bred vifte af rigtig gode hoteller. Alt fra familieparadiserne Sunwing Family Resorts og Family Garden til vores Sunprime-hoteller Sunprime Palma Beach og Sunprime Waterfront i Playa de Palma samt nyheden Sunprime Monsuau i Cala d'Or. Sunprime Hotels er det bedste valg for dig, der rejser uden børn. Vi tilbyder også mange spændende udflugter samt golfpakker med forudbestilte starttider. Nu kan du desuden bestille en rejse med rutefly til flere af vores rejsemål på Mallorca. Det betyder, at du selv bestemmer, hvornår du vil rejse, og hvor længe du vil være væk - året rundt.<br><br>Mallorca er et af vores mest populære rejsemål. Her finder du stemningsfulde tapasbarer, bølgende valmuemarker, grønne olivenlunde, bjerge og dejlige strande. Og så den, for os nordboere, så eftertragtede Middelhavsvarme."
Mallorca,108099,16,Area description,10,"Spies' golfrejser til Mallorca går bl.a. til den populære og solrige Palmabugt, hvor vi tilbyder flere attraktive golfpakker. Du bor allerbedst på vores eget Sunprime Palma Beach, der ligger tæt på både stranden og bylivet i Palma. På Iberostar Son Antem Golf Resort & Spa bor du lige ud til banen. En af øens bedste baner er Alcanada i Alcudia, hvor vi kan anbefale dig at bo på Sunwing Alcudia Beach direkte ved den brede, kridhvide og kilometerlange sandstrand. Er du glad for Sunwing Family Resorts, kan du også vælge at tage til Cala Bona. Her tilbyder vi en golfpakke, hvor du spiller på tre forskellige baner."
Malta,139600,16,Area description,0,"Malta er rejsemålet for dig, der vil opleve mest muligt i ferien. På et relativt lille areal findes tusindårig historie, middelalderkultur, god shopping, et livligt forlystelsesliv og Middelhavets klareste dykkervand. Klimaet er herligt, og både luften og havet holder en behagelig temperatur til langt ind i efteråret. Du bor i St. Julian's/Sliema eller St. Paul's Bay."
Marmaris-området,125963,16,Area description,0,"Velkommen til Marmaris-området - et af Tyrkiets mest populære rejsemål, hvor du garanteret får en skøn ferie. <a href=""{hot:72212}"">Sunprime Beachfront</a> ved strandpromenaden i <a href=""{res:40391}"">Marmaris</a> er perfekt for dig, der rejser uden børn."
Marmaris-området,125963,13,Text part,10,"Marmarisbugten har længe været et populært rejsemål med feriegæster fra hele Europa. Her kommer man for at nyde solen, shoppe i basarerne eller på markederne og måske tage en tur med gületbåd til de små bugter og øer langs kysten. Spies har hoteller i både Marmaris og den hyggelige lille kystby <a href=""{res:41356}"">Içmeler</a> lidt syd for Marmaris."
Nordlige Thailand,108111,16,Area description,0,"Det nordlige Thailand er et must for enhver ivrig thailandsrejsende. Tempoet er ikke så højt som i feriebyerne i det sydlige Thailand, men klimaet er om dagen præcis lige så varmt og skønt. Her rejser man til for at få store oplevelser i de smukke og storlåede bjerglandskaber. Dagene fyldes nemt med trekking, jeepsafari og flodture. I bjerglandsbyerne bor nomader og bjergfolk fra forskellige etniske grupper, og der findes mange seværdigheder, bl.a. gamle templer. Spies tilbyder gode hoteller i Chiang Mai og Chiang Rai."
Phuket,108117,16,Area description,0,"Phuket er knap 50 kilometer lang og 20 kilometer bred, og er Thailands største og mest populære feriested. Med Spies har du meget at vælge mellem, og her er der noget for enhver smag.<br><br>Vælger du at rejse med Spies til Phuket, kan du altid finde et hotel, der passer dig - familievenlige Sunwing Family Resorts i Bangtao Beach og Kamala Beach, hvis du rejser med børn, og Sunprime Kamala Beach, hvis du foretrækker voksent selskab. Du kan også vælge et af de mere kendte rejsemål, f.eks. <a href=""{res:4772}"">Karon Beach</a>, <a href=""{res:4723}"">Khao Lak</a> eller <a href=""{res:4784}"">Kata Beach</a>, eller en af de mere ukendte perler såsom <a href=""{res:6934}"">Nai Yang Beach</a>. Og måske bedst af alt: Spies tilbyder både charter og rutefly til Phuket, og du kan rejse hele året rundt."
Phuket,108117,16,Area description,10,"På Phuket er der omkring ti forskellige golfbaner og Spies tilbyder to af dem. I vores to- og fire-dages golfpakke indgår endda transport til banen. Ønsker du at bo rigtig godt mellem golfbanerne, vil vi gerne slå et slag for vores eget Sunprime Kamala Beach, direkte ved stranden."
Rhodos,108122,16,Area description,0,"Rhodos er den største og mest frodige af de Dodekanesiske Øer, og i flere årtier har den været Grækenlands mest populære ferieø. Rejs med Spies og oplev en perfekt verden af sol, strande og maleriske badebugter. Skal det være en familieferie, I aldrig glemmer, er der intet bedre end vores eget familieparadis <a href=""{hot:9272}"">Sunwing Kallithea Beach</a>, som ligger i  <a href=""{res:6776}"">Kallithea</a> mellem <a href=""{res:6775}"">Faliraki</a> og <a href=""{res:6778}"">Rhodos by</a>. Holder I ferie uden børn, kan vi varmt anbefale vores voksenhotel <a href=""{hot:41808}"">Sunprime Miramare Beach</a> på <a href=""{res:6779}"">Rhodos vestkyst</a> - her får du total afslapning og bor samtidig tæt på shoppingmuligheder og hyggeligt aftenliv i Rhodos by. Tag også gerne et kig på vores nye koncepthotel <a href=""{hot:97036}"">Casa Cook Rhodes</a>, som passer perfekt til livsnyderen, der stiller høje krav til komfort og design.<br><br>Nu kan du også rejse med rutefly til flere af vores rejsemål på Rhodos. Det betyder, at du selv bestemmer både afrejsedag, og hvor længe du vil være væk, uden at være bundet af faste rejsedatoer. Når du bestiller, vælger du blot det ønskede antal dage under ""Rejselængde""."
Rhodos,108122,13,Text part,10,"De senere år har Rhodos by gennemgået en sand forvandling, og det betyder, at Spies kan tilbyde moderne og trendy hoteller for alle. Resten af øen er stadig så godt som uberørt med mange små landsbyer, grønne bjerge og smukke kyststrækninger. Rhodos har også en lang historie med spændende seværdigheder, så hvorfor ikke leje en bil og tage på opdagelse i dit eget tempo? Spies samarbejder med Avis og sørger for fordelagtige priser, når du lejer bil gennem os."
Santorini,108125,16,Area description,0,"Santorini er en af Grækenlands mest spektakulære øer med dramatiske landskaber, fine strande og maleriske landsbyer med de typisk græske hvidkalkede huse med blå tage, som har gjort øen til en af de mest fotograferede i hele Grækenland. Spies tilbyder rejser med valgfri rejselængde til fire af øens byer: <a href=""{res:83352}"">Kamari</a> på østkysten, den livlige hovedby <a href=""{res:83376}"">Thira</a>, den lidt fredeligere landsby <a href=""{res:83351}"">Imerovigli</a> og det mere eksklusive rejsemål <a href=""{res:83386}"">Oia</a>, som ligger højt over havet på Santorinis nordspids."
Sardinien,108126,16,Area description,0,"Sardinien byder på smuk natur, fantastisk mad og strande, der er blandt Middelhavsområdets bedste. Med Spies kan du rejse til  <a href=""{res:83331}"">Alghero</a> og <a href=""{res:83332}"">Costa Smeralda</a>."
Sardinien,108126,13,Text part,10,"Når du rejser med Spies til Sardinien, vælger du selv afrejsedag og rejselængde. Begge vores rejsemål, Alghero og Costa Smeralda, byder på dejlige strande, mange seværdigheder og et stort udbud af restauranter med udsøgt mad. Der er rigtig meget at se på øen, og derfor anbefaler vi, at du lejer en bil eller cykel og udforsker omgivelserne."
Sicilien,108129,16,Area description,0,"Rejs med Spies til Sicilien og oplev Italien fra sin allerbedste side. Middelhavets største ø byder på alt fra sol og strand over historiske seværdigheder til gode shoppingmuligheder og lækker mad. Det sicilianske køkken vidner om ægte madglæde og har ikke meget til fælles med de standardmenuer, man kan finde i andre ferieområder. Derudover er  prisniveauet fordelagtigt lavt i forhold til i resten af Italien og mange andre rejsemål ved Middelhavet."
Sicilien,108129,13,Text part,10,"Når du bestiller en rejse til Sicilien med Spies, kan du vælge mellem tre forskellige rejsemål: <a href=""{res:75019}"">Cefalù</a> i nord samt <a href=""{res:65850}"">Taormina</a> og <a href=""{res:65853}"">Giardino-Naxos</a> på østkysten. Eftersom du rejser med rutefly, kan alt arrangeres, så det passer netop dig: afrejsedag, rejselængde, rejsemål, hotel og udflugter. Desuden flyver du direkte uden mellemlandinger i højsæsonen."
Sicilien,108129,48,Airport help,20,"Der er to lufthavne på Sicilien. Hvis du vil bo i Taormina eller Giardini-Naxos, flyver du til Catania lufthavn, og hvis du vil bo i Cefalù, flyver du til Palermo lufthavn."
Split-området,186728,16,Area description,0,"Det nordlige Dalmatien har meget at byde på: natur, historie, svømmeture i Adriaterhavet og spændende udflugter på havet eller ind i landet. Spies tilbyder rejser til <a href=""{res:65431}"">Split</a>, som er på UNESCO's Verdensarvsliste, samt til charmerende <a href=""{res:81568}"">Trogir</a> beliggende knap 30 km fra Split."
Tenerife,108136,16,Area description,0,"På Tenerife finder du hoteller for enhver smag og pengepung, bl.a. tilbyder Spies familievenlige <a href=""{hot:8959}"">Sunwing Fañabe Beach</a>, hvis du rejser med børn. Her findes også <a href=""{hot:8958}"">Sunprime Coral Suites & Spa</a> og nyheden <a href=""{hot:97455}"">Sunprime Oceanview</a> for voksne samt mange andre hoteller på vores ni forskellige rejsemål.<br><br>Med sine forskelligartede landskaber - fra sydsidens og Teides golde lavalandskaber til Orotavadalens frodige grønne områder i nord - har Tenerife noget for enhver smag. Her kan du bo på vores børnevenlige Family Garden-hotel <a href=""{hot:55686}"">Bahia Principe Tenerife</a> i Playa Paraiso, hvor både Lollo & Bernie og All Inclusive indgår i prisen. Vi kan også anbefale vores eget Sunwing Fañabé Beach, som er meget populært blandt både børn og voksne. Men vi tilbyder også en række andre hoteller og lejligheder med god beliggenhed tæt på både centrum og strand. Nu kan du også bestille en rejse til vores nye Sunprime Oceanview, som er omsorgsfuldt renoveret og byder på en flot udsigt over <a href=""{res:4833}"">Playa de las Américas</a>. <br><br><b>Skræddersy din rejse til Tenerife - året rundt</b><br>Nu kan du også rejse til Tenerife med rutefly. Det betyder, at du selv bestemmer både afrejsedag og rejselængde, og du har flere af vores bedste hoteller at vælge imellem."
Tenerife,108136,16,Area description,10,"Tager du på en golfrejse til Tenerife med Spies, kan du vælge en af vores allermest populære golfpakker. Pakken inkluderer blandt andet golfvært og spil på tre forskellige baner: Amarilla Golf, Golf de Sur og Las Américas. Bor du på Grand Muthu Golf Plaza i San Miguel de Abona, kan vi tilbyde en hotelpakke, der inkluderer en runde per dag på Golf de Sur. Ønsker du at have adgang til øens bedste bane, Abama, anbefaler vi, at du bor på Ritz Carlton Abama i Guia de Isora. Ellers slår vi gerne et slag for vores eget Sunprime Coral Suites & Spa i Playa de las Américas. Her bor du virkelig godt og tæt på banen Golf las Américas. På La Gomera bor du på øens bedste hotel, Jardin Tecina, direkte ved golfbanen."
Thassos,108137,16,Area description,0,"På stille og fredelige Thassos finder du det meste til en vellykket ferie: frodig natur, krystalklart vand, nogle af de bedste strande i Det Ægæiske Hav - og ikke mindst en skøn, græsk atmosfære, eftersom øen er et yndet feriemål for grækerne selv. Det er også derfor, at Thassos er et af vores billigere rejsemål i Grækenland. Spies tilbyder seks forskellige rejsemål, et Family Garden for alle børnefamilier og mange små, hyggelige hoteller beliggende på stranden."
